track_n,slice_n,x,y
1,1,0,0
1,2,-2.11,3.166
1,3,-3.166,5.276
1,4,-4.221,13.717
1,5,-8.441,18.992
1,6,-10.551,21.103
1,7,-8.441,24.268
1,8,-8.441,33.764
1,9,-8.441,42.205
1,10,-8.441,46.426
1,11,-4.221,43.26
1,12,-4.221,47.481
1,13,-4.221,42.205
1,14,-3.166,42.205
1,15,-3.166,36.93
1,16,-3.166,39.04
1,17,-7.386,40.095
1,18,-7.386,40.095
1,19,-15.827,40.095
1,20,-15.827,40.095
1,21,-11.607,42.205
1,22,-7.386,34.819
1,23,-2.11,30.599
1,24,-2.11,30.599
1,25,-2.11,30.599
1,26,-1.055,31.654
1,27,1.055,32.709
1,28,2.11,37.985
1,29,5.275,39.04
1,30,5.275,40.095
1,31,9.496,41.15
1,32,13.716,35.874
1,33,15.827,36.93
1,34,22.157,35.874
1,35,25.323,33.764
1,36,26.378,33.764
1,37,32.709,34.819
2,1,0,0
2,2,-1.055,2.11
2,3,-2.11,3.165
2,4,-6.331,7.385
2,5,-11.606,12.661
2,6,-16.882,12.661
2,7,-18.992,8.441
2,8,-18.992,14.771
2,9,-18.992,16.882
2,10,-18.992,16.882
2,11,-18.992,8.441
2,12,-18.992,7.385
2,13,-18.992,7.385
2,14,-18.992,7.385
2,15,-14.772,3.165
2,16,-14.772,0
2,17,-14.772,0
2,18,-14.772,-2.111
2,19,-15.827,-2.111
2,20,-15.827,-4.221
2,21,-16.882,-2.111
2,22,-16.882,-2.111
2,23,-16.882,-2.111
2,24,-16.882,-1.056
2,25,-16.882,-1.056
2,26,-17.937,2.11
2,27,-18.992,3.165
2,28,-18.992,8.441
2,29,-18.992,8.441
2,30,-18.992,8.441
2,31,-18.992,8.441
2,32,-18.992,8.441
2,33,-18.992,8.441
2,34,-18.992,8.441
2,35,-18.992,8.441
2,36,-18.992,8.441
2,37,-18.992,8.441
3,1,0,0
3,2,1.055,-6.331
3,3,2.11,-11.606
3,4,7.386,-14.772
3,5,11.606,-15.827
3,6,11.606,-18.992
3,7,11.606,-24.268
3,8,11.606,-22.158
3,9,8.441,-16.882
3,10,10.551,-13.717
3,11,10.551,-12.662
3,12,10.551,-8.441
3,13,8.441,-9.496
3,14,6.331,-10.551
3,15,4.22,-11.606
3,16,4.22,-14.772
3,17,4.22,-14.772
3,18,4.22,-14.772
3,19,4.22,-14.772
3,20,4.22,-14.772
3,21,4.22,-14.772
3,22,5.275,-12.662
3,23,5.275,-12.662
3,24,5.275,-12.662
3,25,5.275,-12.662
3,26,6.331,-12.662
3,27,7.386,-11.606
3,28,11.606,-10.551
3,29,13.716,-6.331
3,30,15.827,-3.165
3,31,18.992,-2.11
3,32,24.268,-1.055
3,33,24.268,-1.055
3,34,25.323,-1.055
3,35,27.433,-2.11
3,36,31.654,-2.11
3,37,39.039,1.055
4,1,0,0
4,2,0,-5.276
4,3,6.33,-11.607
4,4,6.33,-16.882
4,5,6.33,-20.048
4,6,7.385,-30.599
4,7,7.385,-40.095
4,8,12.661,-45.371
4,9,12.661,-47.481
4,10,15.826,-54.867
4,11,18.992,-58.032
4,12,20.047,-58.032
4,13,20.047,-59.087
4,14,21.102,-59.087
4,15,26.378,-59.087
4,16,28.488,-56.977
4,17,29.543,-51.701
4,18,35.874,-48.536
4,19,42.205,-49.591
4,20,50.646,-51.701
