track_n,slice_n,x,y
1,1,0,0
1,2,-6.331,6.331
1,3,-6.331,15.827
1,4,-8.441,21.103
1,5,-10.551,30.599
1,6,-3.165,37.985
1,7,-1.055,41.15
1,8,11.606,50.646
1,9,23.213,55.922
1,10,35.874,62.253
1,11,42.205,60.142
1,12,52.756,60.142
1,13,62.252,66.473
1,14,64.363,68.583
1,15,79.134,68.583
1,16,86.52,71.749
1,17,99.182,73.859
1,18,99.182,78.08
1,19,111.843,80.19
1,20,112.898,83.355
1,21,129.78,83.355
1,22,136.111,81.245
1,23,144.552,84.41
1,24,152.993,87.576
1,25,156.159,90.741
1,26,170.93,91.796
1,27,175.151,92.851
1,28,186.757,92.851
1,29,187.812,94.962
1,30,199.419,97.072
1,31,201.529,104.458
1,32,209.97,100.237
1,33,222.632,104.458
1,34,232.128,105.513
1,35,245.844,105.513
1,36,254.285,96.017
1,37,259.561,89.686
2,1,0,0
2,2,3.166,2.11
2,3,-1.055,2.11
2,4,-2.11,2.11
2,5,-2.11,2.11
2,6,2.111,2.11
2,7,3.166,-2.11
2,8,6.331,-5.276
2,9,13.717,-8.441
2,10,17.938,-11.607
2,11,24.268,-14.772
2,12,24.268,-16.882
2,13,31.654,-16.882
2,14,34.82,-15.827
2,15,39.04,-25.323
2,16,50.647,-28.489
2,17,53.812,-28.489
2,18,66.473,-27.433
2,19,69.639,-30.599
2,20,77.025,-31.654
2,21,85.466,-36.93
2,22,86.521,-43.26
2,23,91.796,-44.315
2,24,101.293,-46.426
2,25,103.403,-43.26
2,26,110.789,-37.985
2,27,115.009,-37.985
2,28,117.119,-42.205
2,29,119.23,-43.26
2,30,126.616,-48.536
2,31,131.891,-46.426
2,32,137.167,-46.426
2,33,144.553,-48.536
2,34,151.939,-45.371
2,35,154.049,-45.371
2,36,156.159,-49.591
2,37,162.49,-50.646
3,1,0,0
3,2,2.11,0
3,3,7.386,3.165
3,4,10.551,9.496
3,5,10.551,9.496
3,6,14.772,7.386
3,7,15.827,5.275
3,8,27.433,5.275
3,9,34.819,5.275
3,10,40.095,5.275
3,11,49.591,4.22
3,12,62.252,3.165
3,13,62.252,3.165
3,14,66.473,4.22
3,15,75.969,1.055
3,16,82.3,-2.11
3,17,88.631,-4.221
3,18,99.182,-1.055
3,19,107.623,0
3,20,111.843,0
3,21,116.064,-8.441
3,22,122.395,-15.827
3,23,132.946,-18.992
3,24,139.277,-13.717
3,25,146.662,-12.662
3,26,152.993,-9.496
